uuid;customer_id;country;salary
f0076a1799a36f6dab709ca6cfaf0588d78457fdf093706ba7eb0978550d3df2;3394;Mortgage;144
02b3d7588c7588fad85f12e99f05f13c64d26dfdea956e1f14182d75a9d8eb72;6822;Deposit;36
7260217853e6e5b86d3bc3664e793d4983280f41e55154e19e8f1b13a601934a;7322;Mortgage;107
be511cb0efd9696719fb75d1ab3991ed9c4554743b14f703b67bb4d7b4827160;8271;Credit card;11
ed32ed1e1d0d7939b31679bda132f1d2e1e7d7fa20f97847e18910c5e707d7a0;7791;Mortgage;39
a980a2c0b4eef60439bbf207d0ba31952fff198a1034b8a59d523208cc202cf8;6175;Mortgage;153
51262f342ed8718cafda1a4cc015e2eec6ba7af0613c94ed56baf0ba875934a4;2006;Deposit;100
4ac1e059c290e0b8bfc9bd03c68dc98faa5fb84b31c324685bfcb70c813191ef;3059;Credit card;179
c7ca29143799dd3160c7fed7e98d8d6ac5cacc62a17eb3b5dba050550109ed16;2956;Investment products;73
56dc89276608ff43a67cc0e4d0017e1dd793c9d25829dcedaee99de3f18d86f7;694;Mortgage;157
ebf4c0ea29a77c78f3c619e55d29da0b821aedeadc85253007fcad0dbd2d7f6d;7688;Mortgage;73
efc646de578ff14c65228a8619dce15728dc2316e19fffd83cb058a14742e0fc;1931;Mortgage;147
96d72a4966f1165fd5c91acfad0bc43fdcdd25ffda418f9bf9ef9477f17a99b2;956;Life insurance;165
b5cfa2848bda68cfe21267787031d7bc52e15bc9583bb6fa0034f034937476bb;3632;Credit card;101
6e053b84ef44caddc927edfee84f6c5dfe102b3037fb4f7fc6553d9343868586;4614;Personal area;8
0775fac272ec82ac1e0f76d0367cf2fef5b3b67c1ef921014ef5648972d259e1;1431;Credit card;135
a85a27eef7fcffdfd2e537e6d1a8ac58481ee32393d89d24da1e82b53c75c55d;6052;Consumer loan;43
b87a201c616e764fb00fbfec9b58a319c1d0235b2d6e8273e5155ccb6db66832;9392;Investment products;26
e7f97ef74db4f17ae1059b72a2879c52e533f50fd7fb1d76241c9ba67914de71;9830;Consumer loan;27
35ee06b359a237aae7164391242d159b841cd2199840d25fc6d381b968b9e242;546;Deposit;40
50183dd270ab2c9136fda2cc79785bf25c4e5f44b483322f7d59a45a44c64d58;7381;Mortgage;73
614e5ba2250787adf741199d518062cc11a84160865f6a97f60541c67d387cb2;8395;Mortgage;189
faa51859446742487f8998c75b3eed71a49ac700bf05c5edf5b22f205cceb1ee;3117;Deposit;126
