uuid;customer_id;type;summ;created_date
51661e4b8831a473a79300d7f7f95ac06a97170eb01ba7551993e768a48c1363;3033;Property;969544;2009-06-02
e5ac68b4f5261367ba589bf7ba81d6b83670468766ef8967b089158f9e3a99d6;5081;Automotive;881220;2011-08-13
47a0ae004ca4d54fba6e02851a2a81bdfdc1506c49d8127c0895f7783d6127c7;3466;Automotive;563753;2010-05-12
633b1f1f8dd17eb034e3865f82d41f0f564553332c23ebf9e2fea89c00a79583;7012;Life;648130;2015-11-21
65e32227c8d87c6a535010c3acf7eda29c06934801d71ee7beaa80b1756e90a7;7290;Property;477319;2002-10-17
7061333553eaf3ae9dcb0acfcb0fb1adb82134855a301f1447f41eb96a23b3b0;3898;Automotive;755604;2009-07-07
2b24c1104b7e5351bfe57d8ec277fca29a23f3c2818d45d0c551e98dae3fd235;7710;Life;914379;2011-02-28
35ec2054e4a942f89837dc3d154a492d3deff6fdc202ea8fac7284e413f90dd8;6516;Property;636804;2008-11-08
64ff665ea0de571fd8d28e3caafbdbf4c3c085c30a806a7aa8ce2050c3b2d00b;4607;Life;805674;2019-08-19
d079010429baeaf6b59f23d9b06684eece04f9800b0e3ecefa75d14c56137878;2418;Life;381753;2021-08-17
04c53cac9c02e43b9f95453b5a1f1448f37cceaf791bb161882207997ebbeca6;3514;Health;518182;2015-04-10
f1db740b31a2deeb47542866bdf48486221c05b614ed4b3cf3dec79e926dc643;7040;Life;244662;2002-03-04
dc663977e7a89660b8add430b883ed73274aaee21f8a54e19d340be46c623387;9267;Property;412190;2011-07-03
bfc011930b216f1ec40a69fbfe732b90e714f1342004e025a0806537fb2501a3;877;Automotive;124240;2021-01-03
314167b0480b61d71aa08c8a487427183bb1d77ed2c67cdf8b55ffdf8640060d;9829;Health;696273;2020-08-28
96c5919f93a6cb173261d2bdbcb7bbd03f430b716e8b18f66fb1aeffca15788a;9320;Property;288806;2023-03-15
d34503f76487b072ad22a598ecaf488377e0f24cc4965cb7a3151299045a8c76;7925;Property;80270;2022-06-14
2bd04bbaa2dcdaad5e3daf6542f8fe87a14f5d0e19b1f502a5af475f179fd29c;8704;Life;882891;2003-04-14
74d8c633ff5ec2a1509c70dbaa5bfff3f4fac46a8a026c93d4ca8acfff89ae21;9397;Life;361781;2019-01-08
0b971c580b95570a64364e161384d2a2019a58e93b923518fae5c52df277c454;9414;Property;723631;2004-11-09
7db91d8589840a00d0777522b1720a0dca0e975d3b8682aad22da4657f822b91;354;Property;928132;2001-04-28
6e7b1f75b2d3a98f01d87613ef5a2f3176365f732eec98262ce4ef1bf796510b;7960;Property;558271;2000-10-13
e61e9ec62bd1d01130e4137e9a9291f8b4ff3ae9bf0d9ff01d1c86dda36c5dca;8051;Health;152380;2001-05-24
3026ccde8bed823e9532ff8b86d2f45f84bdaa9b9463ad61bc00f930f06f84f8;8268;Automotive;912769;2000-07-03
d4249d888ab09064a4f12047a7bc6abe53f0fe17631f543494dbd951cbb21769;8611;Automotive;86375;2006-02-27
f247e0ff471a4dc8a849e4db2bdd4680efe25460cb184eb621d9d06271eb6ce4;3805;Health;654199;2012-05-24
f3a7622c55a7259455c842c758c03032da79218dfed30cc458c8a0c829bcce8c;6378;Life;680042;2010-11-27
fb645ef76436db469203d77ed37ae410e276c0149cb457b1bace8445aa186883;8479;Property;257321;2004-03-14
7540e9c581f4df08b41ccaf5cc73c2c0ca4328489a07758883abffbb6abf78a3;6667;Health;271705;2019-10-26
a408baef7ac6866ffe08964030262b2d842e9207da066635545267bfaa48e07e;4773;Health;914995;2020-07-26
344e7ff018bb876f90276c32042d25be91a506d73330118c38f360568ca3102f;8137;Automotive;709620;2006-03-25
e545a55350c9e9db266a139b8cbcb093e321c412a12fc30127b6c0171e0a6dc2;2484;Automotive;352281;2016-01-24
b2e5de040810ea4949fa2089e6feb82026b91852d0c2472981c98e70f85d0db9;1604;Life;332370;2023-12-22
75aebc873e2d590b09796bb8bc1d7dd541ba90ac4b1eb0939681d579881d2d1f;8638;Automotive;428603;2005-07-11
d7b5cfdd70052eb240fc312df9797c8b338b87c9263351a1af6b3a4048572e06;4108;Health;917026;2021-09-26
aa2670a62ea34571011ca979bc7ff039fe29cc8beee6e3560112e29fe59528f8;386;Property;238252;2023-04-09
6018862b808c637d30be32431590a17536bec264debf9d7a6774bbc747241ff6;9766;Health;907477;2004-01-01
702aac53258260846f758a1a8a7a4bba9bc6f9b5b11fddc10da1823cc81b6fdd;8228;Automotive;295956;2006-01-13
a485ef102ca27658c874c36e2cf3693c0e9b4ab3b4776104e6d1bc1f6c06bd7f;1820;Life;860227;2006-01-26
